age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,capital-margin,capital-total,capital-margin-flag,workclass-occupation,race-sex,marital-status-relationship,workclass-education,occupation-education
19,3,366088,6,5,4,6,3,4,1,0,0,40,38,0,0,0,2,31,9,19,42,91
19,8,50626,15,10,4,14,3,2,0,0,0,20,38,0,0,0,2,84,4,19,118,224
45,3,179048,2,8,2,0,0,4,1,0,0,35,39,1,0,0,2,26,9,8,38,2
38,3,275338,9,13,0,11,4,4,0,1151,0,40,38,0,1151,1151,1,36,8,3,45,172
33,3,126950,11,9,2,13,0,4,1,0,0,60,38,0,0,0,2,38,9,8,47,204
29,3,190539,9,13,4,3,1,4,1,0,1590,50,38,0,-1590,1590,0,28,9,17,45,48
18,3,332125,11,9,4,6,2,4,1,2176,0,25,38,0,2176,2176,1,31,9,18,47,96
29,3,218785,15,10,2,0,5,4,0,0,0,65,38,0,0,0,2,26,8,12,51,15
58,3,150560,9,13,0,0,1,4,0,14084,0,40,38,1,14084,14084,1,26,8,0,45,9
66,3,217198,11,9,2,5,0,4,1,0,0,10,38,0,0,0,2,30,9,8,47,81
30,3,159123,11,9,2,2,0,4,1,0,0,45,38,0,0,0,2,27,9,8,47,34
47,5,106252,9,13,0,11,1,4,0,0,0,50,38,0,0,0,2,60,8,0,76,172
28,3,192283,12,14,3,11,1,4,0,0,0,80,38,1,0,0,2,36,8,13,48,175
28,3,230997,11,9,4,11,3,4,0,0,0,60,38,0,0,0,2,36,8,19,47,174
24,8,152719,15,10,4,14,3,2,0,0,0,15,13,0,0,0,2,84,4,19,118,224
22,3,103440,11,9,4,7,1,4,0,0,0,24,38,0,0,0,2,32,8,17,47,112
50,3,344621,11,9,0,6,1,4,0,0,0,40,38,0,0,0,2,31,8,0,47,96
39,1,203070,11,9,5,10,1,4,1,0,0,40,38,0,0,0,2,21,9,21,26,159
59,5,119344,0,6,2,3,5,4,0,0,0,36,38,0,0,0,2,53,8,12,67,39
34,5,77209,11,9,2,11,0,4,1,0,1902,60,38,1,-1902,1902,0,60,9,8,78,174
44,3,193755,9,13,0,3,1,4,1,0,0,50,38,1,0,0,2,28,9,0,45,48
49,3,149337,11,9,5,5,1,4,1,0,0,40,38,0,0,0,2,30,9,21,47,81
36,3,148903,15,10,4,3,1,4,0,0,0,60,38,0,0,0,2,28,8,17,51,54
32,3,162604,11,9,4,6,2,2,1,0,0,40,38,0,0,0,2,31,5,18,47,96
23,8,62507,15,10,4,14,1,4,0,0,0,12,38,0,0,0,2,84,8,17,118,224
30,3,175690,15,10,4,0,4,2,0,0,0,40,38,0,0,0,2,26,4,20,51,15
46,3,191821,11,9,0,11,1,4,0,0,0,40,38,0,0,0,2,36,8,0,47,174
19,3,127491,11,9,4,7,1,4,1,0,0,40,38,0,0,0,2,32,9,17,47,112
34,3,49469,9,13,4,11,1,4,1,99999,0,50,38,1,99999,99999,1,36,9,17,45,172
46,3,62793,11,9,0,11,2,4,0,0,0,40,38,0,0,0,2,36,8,1,47,174
66,8,28367,11,9,2,14,0,4,1,0,0,40,38,0,0,0,2,84,9,8,114,220
34,3,209691,15,10,0,13,1,4,1,0,0,66,38,0,0,0,2,38,9,0,51,208
54,3,87205,11,9,6,7,1,4,0,0,0,15,38,0,0,0,2,32,8,25,47,112
42,3,386175,15,10,0,11,1,4,1,0,0,50,38,1,0,0,2,36,9,0,51,178
61,3,204908,1,7,2,10,0,4,1,0,0,36,38,0,0,0,2,35,9,8,37,149
23,6,170091,15,10,4,9,3,4,0,0,0,6,38,0,0,0,2,70,8,19,98,147
46,4,182655,8,11,2,3,0,4,1,0,0,60,38,1,0,0,2,41,9,8,60,47
38,3,218490,11,9,4,2,3,4,1,0,0,40,38,0,0,0,2,27,9,19,47,34
40,3,171424,12,14,4,9,1,4,1,0,0,50,38,0,0,0,2,34,9,17,48,144
23,8,99399,15,10,4,14,4,0,0,0,0,25,38,0,0,0,2,84,0,20,118,224
30,3,348592,0,6,2,2,0,4,1,0,0,40,38,0,0,0,2,27,9,8,36,23
29,0,124953,8,11,2,12,0,4,1,0,0,42,38,1,0,0,2,11,9,8,8,186
61,3,293899,9,13,2,3,0,4,1,0,0,50,38,1,0,0,2,28,9,8,45,48
54,1,29887,11,9,2,3,0,4,1,0,0,56,38,0,0,0,2,15,9,8,26,50
36,3,186376,15,10,2,6,0,1,1,0,0,50,38,1,0,0,2,31,3,8,51,100
56,0,141877,9,13,2,0,0,4,1,0,0,40,38,1,0,0,2,0,9,8,9,9
22,3,91733,15,10,4,7,3,4,0,0,0,35,38,0,0,0,2,32,8,19,51,116
50,8,260579,11,9,2,14,0,2,1,0,0,40,38,0,0,0,2,84,5,8,114,220
31,5,119411,9,13,0,3,4,4,1,0,0,60,38,1,0,0,2,53,9,3,76,48
25,3,194352,9,13,0,9,1,4,0,0,0,44,38,0,0,0,2,34,8,0,45,141
26,3,200681,11,9,4,6,3,4,1,0,0,40,38,0,0,0,2,31,9,19,47,96
36,3,218490,9,13,2,9,0,4,1,0,0,45,10,1,0,0,2,34,9,8,45,141
28,3,207513,11,9,4,11,3,4,1,0,0,48,38,0,0,0,2,36,9,19,47,174
57,3,124771,11,9,2,2,0,4,1,0,0,40,38,0,0,0,2,27,9,8,47,34
43,1,92374,12,14,2,9,5,2,0,0,0,35,38,1,0,0,2,20,4,12,27,144
27,3,371103,9,13,4,0,1,2,0,0,0,40,38,0,0,0,2,26,4,17,45,9
36,3,163237,7,12,2,0,0,4,1,0,0,40,38,1,0,0,2,26,9,8,43,7
45,1,186375,8,11,2,10,0,4,1,0,0,40,38,0,0,0,2,21,9,8,23,156
33,3,86143,15,10,4,3,3,1,1,0,0,40,29,0,0,0,2,28,3,19,51,54
23,1,336010,9,13,4,0,1,4,1,0,0,32,38,0,0,0,2,13,9,17,24,9
34,4,127651,9,13,0,4,1,4,1,0,0,60,38,0,0,0,2,42,9,0,61,64
29,3,138190,11,9,4,11,4,2,0,0,1138,40,38,0,-1138,1138,0,36,4,20,47,174
47,0,655066,9,13,2,3,0,3,1,0,0,40,28,1,0,0,2,3,7,8,9,48
21,5,87169,11,9,4,4,3,1,1,0,0,35,38,0,0,0,2,54,3,19,78,66
41,3,320744,11,9,4,2,1,4,1,3325,0,50,38,0,3325,3325,1,27,9,17,47,34
39,1,193815,15,10,2,10,0,4,1,0,0,40,38,1,0,0,2,21,9,8,30,162
31,3,126950,11,9,0,13,1,4,1,0,0,40,38,0,0,0,2,38,9,0,47,204
37,6,34996,11,9,5,7,4,4,0,0,0,40,38,0,0,0,2,69,8,24,94,112
30,3,181460,11,9,0,7,4,4,0,0,0,37,38,0,0,0,2,32,8,3,47,112
35,3,105821,8,11,2,0,0,4,1,0,0,36,38,0,0,0,2,26,9,8,44,8
27,3,79787,12,14,4,3,1,4,0,0,0,25,38,0,0,0,2,28,8,17,48,51
61,8,226989,15,10,3,14,1,4,1,0,0,40,38,0,0,0,2,84,9,13,118,224
58,3,49893,15,10,2,11,0,4,1,0,0,45,38,0,0,0,2,36,9,8,51,178
36,3,126569,11,9,2,9,0,4,1,0,0,45,6,1,0,0,2,34,9,8,47,143
39,3,74163,2,8,0,11,1,4,0,0,0,40,38,0,0,0,2,36,8,0,38,165
29,3,214858,9,13,2,11,0,4,1,0,0,40,38,1,0,0,2,36,9,8,45,172
26,3,206199,1,7,4,13,1,2,1,0,0,40,38,0,0,0,2,38,5,17,37,194
32,3,125279,11,9,0,2,4,4,1,0,0,99,38,0,0,0,2,27,9,3,47,34
39,3,147258,0,6,2,2,0,4,1,0,0,40,38,0,0,0,2,27,9,8,36,23
39,0,257175,9,13,0,12,4,2,0,0,625,40,38,0,-625,625,0,11,4,3,9,187
60,3,181954,9,13,2,6,0,1,1,0,0,25,19,0,0,0,2,31,3,8,45,94
37,3,174329,15,10,4,7,3,4,1,0,0,20,38,0,0,0,2,32,9,19,51,116
18,3,243900,11,9,4,0,3,4,0,0,0,15,38,0,0,0,2,26,8,19,47,11
27,3,302406,15,10,2,11,0,4,1,0,0,40,38,1,0,0,2,36,9,8,51,178
36,3,173542,9,13,2,9,0,4,1,0,0,40,38,1,0,0,2,34,9,8,45,141
58,3,68624,11,9,2,3,0,4,1,0,0,45,38,0,0,0,2,28,9,8,47,50
25,3,306908,9,13,2,9,0,4,1,0,0,50,38,0,0,0,2,34,9,8,45,141
25,3,264300,8,11,4,9,3,4,0,0,0,36,38,0,0,0,2,34,8,19,44,140
33,3,122612,11,9,3,7,1,1,0,0,0,35,36,0,0,0,2,32,2,13,47,112
38,3,181139,9,13,4,11,1,4,0,0,0,42,38,0,0,0,2,36,8,17,45,172
27,3,139209,11,9,4,6,4,2,0,0,0,40,38,0,0,0,2,31,4,20,47,96
34,3,199864,15,10,2,0,5,4,0,0,2057,40,38,0,-2057,2057,0,26,8,12,51,15
39,3,306646,15,10,2,11,0,4,1,3103,0,50,38,1,3103,3103,1,36,9,8,51,178
43,3,346189,12,14,2,3,0,4,1,0,0,50,38,1,0,0,2,28,9,8,48,51
28,3,196564,11,9,2,2,0,4,1,0,0,45,38,0,0,0,2,27,9,8,47,34
48,3,47686,1,7,2,7,5,4,0,0,0,40,38,0,0,0,2,32,8,12,37,102
19,3,60661,11,9,4,5,3,4,1,0,0,52,38,0,0,0,2,30,9,19,47,81
40,3,291192,11,9,6,11,1,4,0,0,0,40,38,0,0,0,2,36,8,25,47,174
46,4,168796,9,13,2,11,0,4,1,0,0,55,38,0,0,0,2,48,9,8,61,172
21,3,345253,15,10,4,0,1,3,1,2174,0,40,38,0,2174,2174,1,26,7,17,51,15
50,3,92968,9,13,4,11,4,4,0,0,0,32,38,0,0,0,2,36,8,20,45,172
36,3,214807,11,9,0,7,4,4,0,0,0,40,38,0,0,0,2,32,8,3,47,112
24,3,155150,11,9,2,6,0,4,1,0,0,40,38,0,0,0,2,31,9,8,47,96
38,1,421446,9,13,2,3,0,2,1,0,0,50,38,1,0,0,2,15,5,8,24,48
62,3,122246,15,10,4,2,1,4,0,8614,0,39,38,1,8614,8614,1,27,8,17,51,38
33,3,235109,11,9,4,0,4,4,0,0,0,40,38,0,0,0,2,26,8,20,47,11
53,0,173093,15,10,2,3,5,1,0,0,1887,40,29,1,-1887,1887,0,3,2,12,14,54
39,3,86643,9,13,0,3,1,4,1,27828,0,55,38,1,27828,27828,1,28,9,0,45,48
33,3,292603,15,10,0,7,1,2,0,0,0,30,5,0,0,0,2,32,4,0,51,116
18,3,130849,1,7,4,7,3,4,0,0,0,8,38,0,0,0,2,32,8,19,37,102
19,8,35507,15,10,4,14,3,4,0,0,0,45,38,0,0,0,2,84,8,19,118,224
37,3,177285,8,11,2,0,5,2,0,0,0,48,38,1,0,0,2,26,4,12,44,8
64,8,143716,12,14,2,14,0,4,1,0,0,2,38,0,0,0,2,84,9,8,115,221
39,3,174924,11,9,5,3,1,4,1,14344,0,40,38,1,14344,14344,1,28,9,21,47,50
41,3,76625,11,9,2,2,0,4,1,0,0,40,38,0,0,0,2,27,9,8,47,34
24,3,145964,9,13,4,3,4,4,1,0,0,40,38,1,0,0,2,28,9,20,45,48
39,0,110622,9,13,2,0,5,1,0,0,0,40,29,0,0,0,2,0,2,12,9,9
47,8,58440,8,11,2,14,0,4,1,0,0,45,38,0,0,0,2,84,9,8,111,217
61,3,143800,0,6,2,13,0,4,1,0,0,50,38,1,0,0,2,38,9,8,36,193
36,3,240323,15,10,6,0,4,2,0,0,0,40,38,0,0,0,2,26,4,28,51,15
56,3,227972,12,14,2,9,0,4,1,15024,0,48,10,1,15024,15024,1,34,9,8,48,144
34,3,117963,9,13,2,2,0,4,1,0,0,40,38,1,0,0,2,27,9,8,45,32
43,3,252519,9,13,2,5,0,2,1,0,0,40,13,1,0,0,2,30,5,8,45,80
27,3,78529,11,9,4,13,3,4,0,0,0,15,38,0,0,0,2,38,8,19,47,204
64,8,211360,11,9,6,14,1,4,0,0,0,30,38,0,0,0,2,84,8,25,114,220
58,3,179715,9,13,2,9,0,4,1,0,0,47,38,1,0,0,2,34,9,8,45,141
21,3,155818,11,9,4,7,3,4,0,0,0,20,38,0,0,0,2,32,8,19,47,112
44,3,160785,9,13,2,11,0,4,1,0,0,60,38,1,0,0,2,36,9,8,45,172
31,3,258849,8,11,4,0,4,2,0,0,0,40,38,0,0,0,2,26,4,20,44,8
60,8,141580,11,9,2,14,0,4,1,0,0,50,38,1,0,0,2,84,9,8,114,220
19,8,185619,15,10,4,14,3,4,0,0,0,20,38,0,0,0,2,84,8,19,118,224
40,5,107762,9,13,2,3,0,4,1,0,0,45,38,0,0,0,2,53,9,8,76,48
32,3,296538,11,9,2,6,0,4,1,0,0,42,38,0,0,0,2,31,9,8,47,96
64,5,47462,15,10,4,9,1,4,0,0,0,35,38,0,0,0,2,58,8,17,82,147
27,3,285897,11,9,2,9,0,4,1,0,1848,45,38,1,-1848,1848,0,34,9,8,47,143
59,3,357118,9,13,6,3,1,4,0,0,0,40,38,0,0,0,2,28,8,25,45,48
60,8,124487,15,10,0,14,1,4,0,0,0,40,38,1,0,0,2,84,8,0,118,224
47,5,181405,14,15,2,9,0,4,1,15024,0,40,38,1,15024,15024,1,58,9,8,81,146
41,3,107584,15,10,5,13,1,4,1,0,0,35,38,0,0,0,2,38,9,21,51,208
30,3,94235,9,13,2,9,0,4,1,0,1977,50,38,1,-1977,1977,0,34,9,8,45,141
57,3,173796,11,9,2,13,0,4,1,0,1887,40,38,1,-1887,1887,0,38,9,8,47,204
45,3,168195,11,9,2,13,0,4,1,0,0,42,38,0,0,0,2,38,9,8,47,204
61,3,200427,10,16,2,9,0,4,1,0,0,40,38,1,0,0,2,34,9,8,46,142
30,3,299507,7,12,5,7,4,4,0,0,0,40,38,0,0,0,2,32,8,24,43,108
23,3,238179,11,9,4,7,1,4,1,0,2339,45,38,0,-2339,2339,0,32,9,17,47,112
43,1,231964,15,10,0,0,4,4,0,0,0,40,38,0,0,0,2,13,8,3,30,15
54,6,276005,14,15,2,9,0,4,1,0,0,40,38,1,0,0,2,70,9,8,97,146
53,6,121294,5,4,3,7,4,4,0,0,0,45,30,0,0,0,2,69,8,16,88,106
68,3,217424,11,9,2,10,0,4,1,0,0,24,38,0,0,0,2,35,9,8,47,159
39,5,140752,11,9,2,11,0,4,1,0,0,50,38,1,0,0,2,60,9,8,78,174
47,3,123207,11,9,2,0,5,4,0,0,0,20,38,1,0,0,2,26,8,12,47,11
36,3,106964,11,9,2,6,0,4,1,0,0,40,38,0,0,0,2,31,9,8,47,96
26,3,195994,9,13,5,11,1,4,0,0,0,40,38,0,0,0,2,36,8,21,45,172
32,5,115066,11,9,2,11,0,4,1,0,0,60,38,1,0,0,2,60,9,8,78,174
36,1,220237,9,13,2,10,0,4,1,0,1977,40,38,1,-1977,1977,0,21,9,8,24,157
26,3,128777,15,10,4,11,2,2,0,0,0,40,38,0,0,0,2,36,4,18,51,178
33,3,185177,11,9,4,6,1,4,1,0,0,40,38,0,0,0,2,31,9,17,47,96
75,3,188612,11,9,6,0,1,4,0,0,0,40,38,0,0,0,2,26,8,25,47,11
53,3,321865,12,14,2,3,0,4,1,0,0,40,38,1,0,0,2,28,9,8,48,51
37,3,260093,11,9,4,0,4,2,0,0,0,40,38,0,0,0,2,26,4,20,47,11
26,4,176981,9,13,4,0,3,4,0,0,0,50,38,0,0,0,2,39,8,19,61,9
27,3,188909,11,9,4,5,4,2,0,0,0,40,38,0,0,0,2,30,4,20,47,81
29,3,193152,10,16,2,9,0,4,1,0,0,45,38,1,0,0,2,34,9,8,46,142
47,3,387468,15,10,2,9,0,4,1,0,0,40,33,1,0,0,2,34,9,8,51,147
34,3,157747,9,13,2,3,0,4,1,0,0,40,38,1,0,0,2,28,9,8,45,48
40,5,458168,9,13,2,9,0,4,1,0,0,60,38,0,0,0,2,58,9,8,76,141
36,3,100681,15,10,4,0,1,4,1,2463,0,40,38,0,2463,2463,1,26,9,17,51,15
34,3,231238,6,5,5,4,4,2,1,0,0,40,38,0,0,0,2,29,5,24,42,61
43,3,169383,9,13,2,3,0,4,1,0,0,45,38,1,0,0,2,28,9,8,45,48
32,3,136921,11,9,2,11,0,4,1,0,0,40,38,0,0,0,2,36,9,8,47,174
19,3,167859,11,9,4,7,3,2,1,0,0,40,38,0,0,0,2,32,5,19,47,112
18,6,389147,11,9,4,11,1,2,0,0,0,30,38,0,0,0,2,72,4,17,94,174
20,3,374116,11,9,4,9,2,4,0,0,0,40,38,0,0,0,2,34,8,18,47,143
51,3,96609,15,10,2,2,0,4,1,0,0,40,38,0,0,0,2,27,9,8,51,38
19,3,260333,11,9,4,7,3,4,0,0,0,20,38,0,0,0,2,32,8,19,47,112
28,3,120135,8,11,4,11,1,4,0,0,0,40,38,0,0,0,2,36,8,17,44,171
25,3,282313,0,6,4,5,3,2,1,0,1602,40,38,0,-1602,1602,0,30,5,19,36,71
42,3,203393,9,13,2,2,5,2,0,0,0,35,38,1,0,0,2,27,4,12,45,32
57,5,115422,11,9,2,2,0,4,1,3137,0,40,38,0,3137,3137,1,52,9,8,78,34
39,3,290922,12,14,4,9,3,4,0,0,0,40,38,0,0,0,2,34,8,19,48,144
18,8,169882,15,10,4,14,3,4,0,594,0,15,38,0,594,594,1,84,8,19,118,224
46,3,273796,11,9,2,13,0,4,1,0,0,65,38,1,0,0,2,38,9,8,47,204
18,3,301814,11,9,4,11,1,4,0,0,0,20,38,0,0,0,2,36,8,17,47,174
28,3,429507,7,12,2,5,0,2,1,0,0,40,38,0,0,0,2,30,5,8,43,78
28,3,116613,15,10,4,12,3,4,0,0,0,24,38,0,0,0,2,37,8,19,51,192
44,5,253250,12,14,2,9,0,4,1,0,0,54,38,0,0,0,2,58,9,8,79,144
40,1,244522,12,14,2,9,0,4,1,0,1902,48,38,1,-1902,1902,0,20,9,8,27,144
27,3,237466,9,13,4,7,1,4,0,0,0,30,38,0,0,0,2,32,8,17,45,110
35,1,405284,12,14,2,9,5,4,0,0,0,35,38,1,0,0,2,20,8,12,27,144
50,5,192654,0,6,4,2,1,4,1,0,0,25,38,0,0,0,2,52,9,17,67,23
33,8,148380,9,13,2,14,5,4,0,3103,0,60,38,1,3103,3103,1,84,8,12,112,218
45,1,149337,12,14,2,9,0,4,1,0,0,40,21,1,0,0,2,20,9,8,27,144
44,3,56483,9,13,4,0,3,4,0,0,0,37,38,0,0,0,2,26,8,19,45,9
31,3,189759,12,14,2,11,0,4,1,0,0,40,38,1,0,0,2,36,9,8,48,175
47,5,88500,11,9,2,4,0,4,1,0,0,35,38,0,0,0,2,54,9,8,78,66
73,8,123345,11,9,6,14,1,4,0,0,0,65,38,0,0,0,2,84,8,25,114,220
42,3,288154,15,10,2,2,0,4,1,0,0,89,38,1,0,0,2,27,9,8,51,38
41,5,66632,15,10,0,2,1,4,1,0,0,40,38,0,0,0,2,52,9,0,82,38
31,3,373903,9,13,2,0,0,4,1,0,0,40,38,1,0,0,2,26,9,8,45,9
26,3,132572,9,13,4,0,3,2,0,0,0,32,38,0,0,0,2,26,4,19,45,9
20,3,34590,15,10,4,4,3,4,1,0,0,60,38,0,0,0,2,29,9,19,51,70
33,3,309590,11,9,4,7,1,2,1,0,0,40,22,0,0,0,2,32,5,17,47,112
49,5,27067,8,11,4,0,1,4,0,0,0,60,38,0,0,0,2,51,8,17,75,8
25,3,152165,9,13,4,11,1,4,0,0,0,40,38,0,0,0,2,36,8,17,45,172
20,8,132053,11,9,4,14,1,4,0,0,0,40,38,0,0,0,2,84,8,17,114,220
32,3,105650,11,9,2,3,5,4,0,0,0,50,38,1,0,0,2,28,8,12,47,50
45,3,265097,11,9,2,7,0,4,1,0,1902,40,38,1,-1902,1902,0,32,9,8,47,112
68,4,119938,9,13,2,3,0,4,1,0,0,40,38,1,0,0,2,41,9,8,61,48
30,3,41210,8,11,4,6,1,4,1,0,0,45,38,0,0,0,2,31,9,17,44,93
35,3,108907,11,9,5,6,4,4,1,0,0,40,38,0,0,0,2,31,9,24,47,96
48,6,106377,10,16,2,9,0,4,1,0,0,65,38,1,0,0,2,70,9,8,93,142
59,6,132717,0,6,2,4,0,4,1,0,0,40,38,0,0,0,2,66,9,8,83,55
42,3,228320,9,13,2,11,0,4,1,5178,0,45,38,1,5178,5178,1,36,9,8,45,172
24,0,29591,9,13,4,9,1,3,0,0,0,40,38,0,0,0,2,8,6,17,9,141
35,5,222450,11,9,2,4,0,4,1,0,0,40,25,0,0,0,2,54,9,8,78,66
23,3,291854,15,10,4,9,3,4,0,0,0,40,38,0,0,0,2,34,8,19,51,147
54,8,186565,12,14,0,14,1,4,1,0,0,1,38,0,0,0,2,84,9,0,115,221
18,3,39529,2,8,4,7,3,4,0,0,0,32,38,0,0,0,2,32,8,19,38,103
63,5,344128,9,13,2,11,0,4,1,0,0,50,38,1,0,0,2,60,9,8,76,172
69,6,50468,14,15,2,0,0,4,1,0,0,34,38,1,0,0,2,63,9,8,97,14
34,3,175878,15,10,4,2,1,4,1,0,0,40,38,0,0,0,2,27,9,17,51,38
25,3,248612,7,12,4,2,1,4,1,0,0,30,38,0,0,0,2,27,9,17,43,30
18,3,318190,1,7,4,7,3,4,1,0,0,15,38,0,0,0,2,32,9,19,37,102
25,3,171236,11,9,0,5,3,4,0,0,0,40,38,0,0,0,2,30,8,2,47,81
72,5,32819,12,14,2,2,0,4,1,0,0,30,38,0,0,0,2,52,9,8,79,35
39,5,272671,9,13,2,3,0,4,1,0,0,50,38,1,0,0,2,53,9,8,76,48
31,4,149726,11,9,2,2,0,4,1,0,0,50,38,0,0,0,2,40,9,8,63,34
30,3,208043,9,13,2,11,0,4,1,0,0,55,38,1,0,0,2,36,9,8,45,172
58,5,35723,11,9,2,2,0,4,1,0,0,60,38,0,0,0,2,52,9,8,78,34
63,3,114424,15,10,5,6,2,2,0,0,0,37,38,0,0,0,2,31,4,22,51,100
38,3,48093,11,9,2,5,0,4,1,0,0,40,38,0,0,0,2,30,9,8,47,81
25,3,198587,15,10,4,12,1,2,0,2174,0,50,38,0,2174,2174,1,37,4,17,51,192
27,3,315640,12,14,4,9,1,1,1,0,0,20,2,0,0,0,2,34,3,17,48,144
19,8,371827,11,9,4,14,3,4,1,0,0,40,31,0,0,0,2,84,9,19,114,220
36,3,163290,15,10,0,11,4,4,0,0,0,40,38,0,0,0,2,36,8,3,51,178
36,8,187167,11,9,5,14,1,4,0,0,0,30,38,0,0,0,2,84,8,21,114,220
50,3,69345,8,11,2,13,0,4,1,3103,0,55,38,1,3103,3103,1,38,9,8,44,201
35,3,182898,11,9,4,0,1,4,1,8614,0,40,38,1,8614,8614,1,26,9,17,47,11
47,3,420986,9,13,2,3,0,4,1,0,0,40,38,1,0,0,2,28,9,8,45,48
38,6,91670,15,10,0,9,3,1,0,0,0,40,38,0,0,0,2,70,2,2,98,147
23,3,380281,7,12,4,7,3,4,1,0,0,25,3,0,0,0,2,32,9,19,43,108
62,3,123411,5,4,2,13,0,4,1,0,0,53,38,0,0,0,2,38,9,8,41,198
46,1,301124,12,14,4,9,1,4,0,0,1564,45,38,1,-1564,1564,0,20,8,17,27,144
50,3,123429,15,10,2,2,0,4,1,0,0,40,38,1,0,0,2,27,9,8,51,38
39,1,177728,12,14,0,9,1,4,0,0,0,40,38,0,0,0,2,20,8,0,27,144
35,3,110402,1,7,2,11,0,4,1,0,0,35,38,0,0,0,2,36,9,8,37,164
34,3,28053,9,13,3,0,1,4,0,0,0,25,38,0,0,0,2,26,8,13,45,9
28,5,147951,8,11,2,4,0,4,1,0,0,80,38,0,0,0,2,54,9,8,75,63
53,3,121618,5,4,4,13,1,0,1,0,0,40,38,0,0,0,2,38,1,17,41,198
45,3,31339,9,13,2,0,0,4,1,0,0,45,38,1,0,0,2,26,9,8,45,9
40,3,572751,14,15,2,2,0,4,1,5178,0,40,25,1,5178,5178,1,27,9,8,50,37
20,3,140001,15,10,4,0,3,4,1,0,0,40,38,0,0,0,2,26,9,19,51,15
65,3,65757,11,9,4,0,4,4,0,0,0,40,38,0,0,0,2,26,8,20,47,11
45,3,273435,11,9,2,2,0,4,1,0,0,40,38,0,0,0,2,27,9,8,47,34
30,3,126242,15,10,2,7,5,4,0,0,0,40,38,0,0,0,2,32,8,12,51,116
45,8,27184,11,9,6,14,4,4,0,0,0,38,38,0,0,0,2,84,8,28,114,220
24,3,202959,8,11,4,0,1,4,0,0,0,40,38,0,0,0,2,26,8,17,44,8
24,3,176580,4,3,3,4,1,4,1,0,0,40,25,0,0,0,2,29,9,13,40,59
21,3,227220,11,9,4,7,2,4,0,0,0,33,38,0,0,0,2,32,8,18,47,112
30,3,192002,15,10,2,2,0,4,1,0,0,40,38,0,0,0,2,27,9,8,51,38
76,8,431192,5,4,6,14,1,4,1,0,0,2,38,0,0,0,2,84,9,25,108,214
32,3,169768,9,13,5,12,1,2,1,0,0,40,38,0,0,0,2,37,5,21,45,187
58,4,182062,10,16,2,9,0,4,1,0,0,24,38,1,0,0,2,46,9,8,62,142
51,3,144084,11,9,4,6,3,4,0,0,0,40,38,0,0,0,2,31,8,19,47,96
26,3,31558,9,13,2,9,0,4,1,0,0,90,38,1,0,0,2,34,9,8,45,141
23,3,145651,15,10,4,11,3,2,0,0,0,20,38,0,0,0,2,36,4,19,51,178
23,1,144165,9,13,4,9,3,0,1,0,0,30,38,0,0,0,2,20,1,19,24,141
